-325,-121,-219,
-270,-100,-170,
-297,-85,-159,
-264,-73,-150,
-251,-64,-142,
-270,-55,-144,
-282,-52,-137,
-289,-43,-137,
-294,-40,-134,
-285,-37,-137,
-274,-37,-129,
-264,-34,-127,
-273,-34,-131,
-289,-31,-130,
-264,-31,-134,
-267,-31,-133,
-255,-31,-129,
-249,-31,-113,
-273,-28,-124,
-253,-22,-126,
-270,-22,-125,
-270,-19,-124,
-264,-16,-122,
-252,-16,-121,
-270,-16,-124,
-273,-16,-125,
-280,-13,-128,
-255,-13,-112,
-264,-13,-127,
-277,-13,-125,
-291,-13,-128,
-276,-13,-127,
-297,-13,-126,
-264,-10,-121,
-273,-10,-120,
-267,-10,-120,
-282,-6,-125,
-276,-6,-123,
-262,-6,-119,
-258,-6,-115,
-237,-6,-115,
-260,-3,-119,
-270,-3,-120,
-255,-3,-115,
-270,-3,-119,
-261,-3,-117,
-264,-3,-119,
-243,-3,-116,
-255,-3,-117,
-230,-3,-111,
-270,-3,-117,
-234,-3,-112,
-270,-3,-113,
-245,-3,-111,
-297,-3,-124,
-279,-3,-123,
-282,-3,-128,
-264,-3,-121,
-264,-3,-122,
-273,-3,-125,
-273,-3,-118,
-261,-3,-119,
-240,-3,-114,
-276,-3,-118,
-259,-3,-115,
-304,-3,-128,
-276,-3,-123,
-268,-3,-121,
-255,-3,-121,
-231,-3,-119,
-261,-3,-121,
-276,-3,-131,
-240,-3,-117,
-294,-3,-129,
-252,-3,-119,
